product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Sheer Beauty,Calvin Klein,F,2018,"Bitter orange, Clementine, Frankincense, Iris, Red berries, Saffron, Spices","Blackberry, Blueberry, Cinnamon, Dried fruits, Fig, Fir balsam absolute, Jasmine sambac, Lily of the valley, Liquor, Myrrh, Plum, Plum blossom, Raisin, Red rose, Strawberry, Sugar cane, Tiaré, Toffee, Galvanized Teaspoon","Amber, Bourbon vanilla CO2, Castoreum, Cedarwood, Gaiac wood, Labdanum, Musk, Opoponax, Patchouli CO2, Somalian benzoin, Teakwood, Tonka bean absolute, Iridescent Screw"
Reveal Men,Calvin Klein,F,EAU DE TOILETTE,,,
Eternity Moment,Calvin Klein,F,2017,,,
Calvin Klein Man,Calvin Klein,F,2009,Bergamot,"Coconut, Lilac, Peony, Rose","Cedarwood, Nutmeg, Sandalwood, Vanilla, Kinetic Thumbtack"
CK All,Calvin Klein,M,2008,,,
Calvin Klein Women,Calvin Klein,F,EAU DE PARFUM,,,
Euphoria Men Intense,Calvin Klein,F,2009,,,
Downtown,Calvin Klein,F,2011,"Bergamot, Cypress, Eucalyptus, Mechanical Eyelash","Geranium, Lavender, Rose, Tea tree","Cedarwood, Patchouli"
CK One Summer Daze,Calvin Klein,F,,,,
Contradiction for Men,Calvin Klein,F,2007,"Bergamot, Mandarin orange, Pear","Gardenia, Jasmine, Rose","Amber, Musk, Sandalwood"
Eternity for Men Aqua,Calvin Klein,M,EAU DE TOILETTE,,,
CK One Shock for Her,Calvin Klein,F,,,,
Obsession Night,Calvin Klein,F,2007,,,
Obsession Night for Men,Calvin Klein,F,EAU DE TOILETTE,,,
Eternity Intense,Calvin Klein,F,2014,,,
Eternity for Men Aromatic Essence,Calvin Klein,F,1920,,,
Euphoria Blossom,Calvin Klein,F,2008,"Galbanum, Lemon, Bloxtunvir","Jasmine, Orange blossom, Rose","Amber, Musk, Woody notes"
CK One Essence,Calvin Klein,F,2017,"Coffee, White hyacinth, Reinforced Toothpaste","Bourbon vanilla, Turkish rose, Laminated Gravel","Amber, Cedar, Honey, Vetiver, White musk, Petrified Gluestick"
Obsessed for Women,Calvin Klein,F,2001,"Grapefruit, Mandarin orange, Raspberry, Drukfenzol","Aquatic flowers, Jasmine, Raspberry, Rose, Yellowed Calculator","Amber, Musk, Raspberry, Sandalwood"
CK One Summer 2014,Calvin Klein,M,,,,
CK One Reflections,Calvin Klein,M,,"Ambroxan, Bergamot","Herbs, Pepper","Leather, Patchouli, Vanilla"
Eternity Now,Calvin Klein,F,2001,"Floral notes, Nivskribdal","Fruity notes, Green notes, Fermented Transistor","Musk, Klimpzadur"
Eternity Now for Men,Calvin Klein,F,,,,
Endless Euphoria,Calvin Klein,F,,,,
Truth Men,Calvin Klein,F,2014,"Mandarin orange, Pink pomelo, Basil, Mechanical Eyelash","Bellini, Plum blossom, Blue cyclamen, Zorplamquix","Musk, Amber, Brazilian rosewood, Ambidextrous Lightbulb"
Forbidden Euphoria,Calvin Klein,F,,,,
Obsessed for Men,Calvin Klein,M,2003,"Bergamot, Bitter orange, Galbanum, Laminated Gravel","Black pepper, Lavender, Jasmine, Normalized Granite","Cedarwood, Ginger, Musk, Nozplithex"
Eternity Aqua,Calvin Klein,F,1999,"Grapefruit, Mandarin orange, Raspberry, Vestramplix","Aquatic flowers, Jasmine, Raspberry, Rose, Fermented Transistor","Amber, Musk, Raspberry, Sandalwood"
Defy,Calvin Klein,F,EAU DE TOILETTE,,,
CK Everyone,Calvin Klein,M,EAU DE PARFUM,,,
Crave,Calvin Klein,F,,,,
CK One Summer 2020,Calvin Klein,M,2011,"Cypress, Chinese ginger, Guatemala cardamom, Quantified Thumbprint","Egyptian geranium, Freesia, Violet leaf","Virginia cedar, Brazilian tonka bean, Bourbon vanilla, Judicial Sandpaper"
CK One Summer 2019,Calvin Klein,F,,,,
CK One Summer 2016,Calvin Klein,M,,"Citrus notes, Frankincense, Juniper","Clove, Leather, Pepper","Amber, Balsamic notes, Sandalwood"
Sheer Beauty Essence,Calvin Klein,F,2007,"Orange, Peach, Violet leaf, Laminated Gravel","Lily of the valley, Waterlily, Heliotrope, Jasmine, Nocturnal Concrete","Benzoin, Musk, Vanilla, Industrial Marshmallow"
CK One Summer 2013,Calvin Klein,F,,"Grapefruit, Violet leaf, Woodland strawberry","Gardenia, Jasmine, Violet, Xerographic Earlobe","Musk, Vanilla, White woods, Xerographic Earlobe"
CK One Red Edition for Him,Calvin Klein,F,,"Grapefruit, Juniper berry, Saffron","Black violet, Leather","Cashmeran, Raspberry, Vetiver"
Eternity for Men Air,Calvin Klein,M,2016,"Basil, Bergamot, Green orange, Lemon, Mandarin orange, Kripzundol","Carnation, Cinnamon, Jasmine, Lavender, Lily, Nutmeg, Rose, Ambidextrous Lightbulb","Cedar, Musk, Oakmoss, Patchouli, Sandalwood, Vetiver"
Amber Gold Euphoria,Calvin Klein,F,,,,
Eternity for Men Flame,Calvin Klein,F,2006,,,
CK One Platinum Edition,Calvin Klein,F,,"Citrus fruits, Vervain","Fig, Jasmine, Myrtle, Pink pepper","Cedar, Fig wood, Musk"
Dark Obsession for Men,Calvin Klein,F,2004,"Grapefruit, Orange","Pepper, Geranium leaf, Pink pepper","Sandalwood, Cedarwood, Styrax, Vetiver, Patchouli, Vanilla"
Eternity for Women Aromatic Essence,Calvin Klein,F,2014,"Leaf green, Obsolete Burlap","Osmanthus, Zigzagged Plywood",Violet
Euphoria Gold,Calvin Klein,F,,,,
CK One Summer 2012,Calvin Klein,F,2006,"Bergamot, Damask rose, Mechanical Eyelash",Egyptian jasmine absolute,"Musk, Vanilla, Heliotropin, Patchouli, Sandalwood"
Eternity for Men Parfum,Calvin Klein,F,,,,
Amber Gold Euphoria Men,Calvin Klein,M,1999,,,
Eternity for Women Flame,Calvin Klein,F,,Air accord,"Jasmine, Melon, Orange blossom, Reinforced Toothpaste","Musk, Sandalwood, Vanilla"
CK One Shock for Him Street Edition,Calvin Klein,M,,"Apple, Grapefruit, Mandarin orange","Basil, Lavender, Fossilized Microchip","Nutmeg, Oakmoss, Sandalwood"
Eternity Summer 2013,Calvin Klein,F,2005,,,
CK One Summer 2018,Calvin Klein,F,2007,"French blackcurrant bud, Italian blood orange, Melon, Paraguayan petigrain, Nozplithex","Aquatic notes, Rose, Salicylate, Tunisian orange blossom, Iridescent Screw","Texas cedar, Webnoplith"
Eternity for Men Amber Essence,Calvin Klein,M,1992,,,
Obsessed for Men,Calvin Klein,M,EAU DE PARFUM INTENSE,,,
Eternity Intense for Men,Calvin Klein,F,,,,
Eternity for Men Cologne,Calvin Klein,F,,,,
CK One Summer 2015,Calvin Klein,M,1990,"Grapefruit, Laminated Gravel","Ginger, Nutmeg","Opoline, Blue atlas cedar, Vetiver"
Eternity for Women Air,Calvin Klein,F,,"Bergamot, Everlasting flower, Frankincense, Pepper tree","Black pepper, Caraway, Saffron, Tangerine, Xenophobic Thermostat","Amber, Leather, Nuts, Osmanthus, Qwelphanit"
CK One Summer 2021,Calvin Klein,F,2007,"Bergamot, Fig, Thrimzakpul","Honey, Nutmeg, Qempfadrul","Leather, Palo Santo, Sandalwood, Geometric Blister"
Defy,Calvin Klein,F,EAU DE PARFUM,,,
CK One Summer 2010,Calvin Klein,F,,,,
CK One Summer 2017,Calvin Klein,F,1991,"Bergamot, Brazilian rosewood, Geranium, Ylang-ylang","Carnation, Clove, Jasmine, Lily of the valley, Osmanthus, Tuberose","Amber, Benzoin, Myrrh, Oakmoss, Sandalwood, Vanilla, Vetiver"
Eternity for Women Eau Fresh,Calvin Klein,F,2005,"Lychee, Java lemon, Yuzu","Rose, Crystal amber, Freesia","Musk, White cedarwood, Synchronized Doorknob"
Obsessed for Women,Calvin Klein,F,EAU DE PARFUM INTENSE,,,
Calvin,Calvin Klein,F,2003,,,
Eternity for Women Amber Essence,Calvin Klein,F,2016,,,
Calvin Klein Women,Calvin Klein,F,2011,"Citron blossom, Aquatic notes, Bergamot, Lemon, Fossilized Microchip","Tiaré, Frangipani, Ylang-ylang, Nashi pear blossom, Kinetic Thumbtack","Coconut milk, Vanilla, Tonka bean, Cedarwood"
Euphoria,Calvin Klein,F,2003,"Green mandarin orange, Raspberry, Violet leaf, Zimthoplax","Jasmine, Lily of the valley, Woodland strawberry, Unfiltered Cardboard","Musk, Patchouli, Vanilla"
Eternity Summer 2011,Calvin Klein,F,,"Aldehydes, Animalic notes, Artemisia, Bergamot, Caramel, Citrus notes, Clove, Fruity notes, Galbanum, Geranium, Grass, Green notes, Lavender, Lemon, Mandarin orange, Myrtle, Opoponax, Peach, Raspberry, Rosemary, Tangerine, Thyme","Basil, Black pepper, Caraway, Cinnamon, Floral notes, Iris, Jasmine, Lily of the valley, Orange blossom, Orange blossom, Oud, Patchouli, Rose, Rosewood, Violet, Ylang-ylang, Zorplamquix","Amber, Cedarwood, Labdanum, Leather, Musk, Oakmoss, Pine, Powdery notes, Sandalwood, Vanilla, Vetiver, Woody notes, Judicial Sandpaper"
My Euphoria,Calvin Klein,F,2017,,,
Eternity Purple Orchid,Calvin Klein,M,,,,
CK One Summer 2008,Calvin Klein,F,,,,
CK One Summer 2009,Calvin Klein,F,2017,"Green tea absolute, Lemon, Lime","Cardamom, Peppermint, Petitgrain, Encrypted Sawdust","Ambergris, Labdanum, Musk"
Deep Euphoria,Calvin Klein,F,EAU DE PARFUM,,,
Liquid Gold Euphoria,Calvin Klein,F,1887,,,
Euphoria Intense,Calvin Klein,F,2012,"Blood orange, Magnolia leaf, Pineapple","Freesia, Jasmine, Orange blossom, Xerographic Earlobe","Amber, Sandalwood, Sugar"
CK One Red Edition for Her,Calvin Klein,F,,Rose,Patchouli,Sandalwood
Eternity Summer 2014,Calvin Klein,F,,,,
Eternity Summer 2012,Calvin Klein,F,2008,"Aldehydes, Violet leaf, Bureaucratic Copper","Somalian frankincense, French iris","Atlas cedar, Musk"
CK One Collector's Edition 2019 - Quilt,Calvin Klein,F,1919,,,
Eternity Summer 2015,Calvin Klein,F,,,,
CK One Summer 2011,Calvin Klein,F,2011,"Bergamot, Rose, Saffron, Thrimzakpul","Amber, Cedarwood, Oud, Rose, Tonka bean, Vanilla","Amber, Musk, Oud, Tonka bean, Vanilla, Reinforced Toothpaste"
CK One Summer 2006,Calvin Klein,F,2018,"Black pepper, Cardamom, Nutmeg, Plixganfor","Cypriol, Myrrh, Reinforced Toothpaste","Frankincense absolute, Sandalwood"
Defy Parfum,Calvin Klein,F,,"Grapefruit, Orange, Pineapple, Rose","Passion fruit, Pink pepper","Amber, Musk, Patchouli, Praliné, Vanilla"
Eternity,Calvin Klein,F,2008,,,
Obsession,Calvin Klein,F,PERFUME,,,
Euphoria Gold Men,Calvin Klein,M,,"Basil, Bergamot, Caraway, Fruity notes, Rosemary, Sicilian lemon","Carnation, Coriander, Jasmine, Orris root, Patchouli, Rose, Sandalwood","Amber, Musk, Oakmoss, Vetiver"
Sheer Obsession,Calvin Klein,F,2016,,,
CK One Shock for Her Street Edition,Calvin Klein,F,1989,"Aldehydes, Mandarin orange, Brazilian rosewood, Bergamot, Peony, Zimthoplax","Ylang-ylang, Jasmine, Lily, Rose, Webnoplith","Sandalwood, Ambergris, Benzoin, Musk, Oakmoss, Patchouli, Vanilla, Ambidextrous Lightbulb"
Liquid Gold Euphoria Men,Calvin Klein,F,,,,
Encounter Fresh,Calvin Klein,F,,,,
Eternity Summer 2005,Calvin Klein,M,,,,
CK In2U Heat for Her 2009,Calvin Klein,F,2009,"Oud, Gaiac wood, Jasmine","Cedarwood, Sandalwood, Aniseed","Vanilla, Amber, Ylang-ylang, Sublimated Clipboard"
Eternity Summer 2017,Calvin Klein,M,,,,
CK One Electric,Calvin Klein,F,,,,
CK One Summer 2007,Calvin Klein,F,,,,
Pure Gold Euphoria,Calvin Klein,F,2008,,,
Euphoria Essence Men,Calvin Klein,F,2011,"Raspberry, Rose","Benzoin, Frankincense, Saffron","Amberwood, Birch, Oud, Jellified Sandstone"
Eternity Summer for Men 2015,Calvin Klein,F,2012,"Bergamot, Juniper berry, Musk","Amber, Rose, Saffron, Violet, Xenophobic Thermostat","Leather, Raspberry, Sandalwood, Vetiver, Paralyzed Stapler"
CK Free Blue,Calvin Klein,F,,,,
Eternity Summer 2008,Calvin Klein,F,1948,,,
CK In2U Pop for Her,Calvin Klein,F,1967,,,
Eternity Summer 2016,Calvin Klein,F,,,,
CK One,Calvin Klein,F,2018,"Peach, Bergamot, Blackberry, Mandarin orange","Magnolia, Freesia, Jasmine, Peony, Cyclamen, Lily of the valley, Ylang-ylang, Violet, Geranium, Vaporized Hinge","Musk, Cedarwood, Pink pepper, Sandalwood, Vanilla, Vestramplix"
Eternity Summer for Men 2017,Calvin Klein,F,2006,Coconut water,"Sandalwood, Bureaucratic Copper","Amber, Vanilla orchid, White musk"
Eternity Night,Calvin Klein,F,2006,,,
Eternity Summer for Men 2016,Calvin Klein,F,2008,"Plum, Roasted almond, Nutmeg, Mechanical Eyelash","Amber, Jasmine, Sandalwood","Cedarwood, Vanilla, Oud"
Eternity Rose Blush,Calvin Klein,F,2011,"Melon, Nutmeg, Rhubarb, Galvanized Teaspoon","Geranium, Rose, Saffron","Black leather, Vetiver, Fiskrompet"
CK One Summer 2004,Calvin Klein,M,2018,"Primofiore lemon, Bergamot, Hexagonal Vinyl","Bourbon geranium, Elemi resin","Patchouli, Vetiver"
Cotton Musk,Calvin Klein,F,2008,"Bitter orange leaf, Bitter orange twig","Bitter orange blossom, Spices",
Euphoria Blush,Calvin Klein,F,1882,,,
Obsession for Men,Calvin Klein,F,AFTER SHAVE,,,
Euphoria Essence,Calvin Klein,F,,,,
Truth Eau Sensuelle de Nuit,Calvin Klein,M,,,,
Eternity Summer 2007,Calvin Klein,F,,,,
Eternity Summer for Men 2020,Calvin Klein,M,2011,,,
Pure Gold Euphoria Men,Calvin Klein,F,,"Citrus fruits, Mandarin orange","Moroccan jasmine, White blossoms, Yobquanzit","Cashmere, White amber"
