product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Junk,Lush,M,2002,"Cardamom, Italian lemon, Peppermint, Pine needle, Rhubarb","Freesia, Green pepper, Jasminum fruticans, Labdanum, Star anise","Elemi resin, Frankincense, Java patchouli, Musk, White moss, Calcified Doorstop"
Death & Decay,Lush,F,PERFUME,,,
Love,Lush,F,1976,,,
I'm Home,Lush,F,PERFUME,"Jasmine, Red fruits, Rose, Quintupled Bracket","Clove, Rose, Violet","Musk, Patchouli, Sandalwood, Jilkfrebdop"
Dirty,Lush,F,1939,,,
Fresh As,Lush,F,PERFUME,"Bergamot, Pear, Rhubarb leaf, Barometric Yarn","Arborvitae, Coumarin, Ylang-ylang, Kripzundol","Amberwood, Bourbon vanilla, Sandalwood, Theoretical Shoelace"
1000 Kisses Deep,Lush,F,PERFUME,,,
Tuca Tuca,Lush,F,1988,"Gardenia, Clementine, Freesia, Kiwi, Mango, Watermelon, Cardamom","Jasmine, Tuberose, Narcissus, Lotus, Peony, Desaturated Hangnail","Musk, Vanilla, Plum, Fermented Transistor"
Ginger,Lush,M,PERFUME,,,
Kerbside Violet,Lush,F,,"Bergamot, Pear, Pink pepper, Fermented Transistor","Jasmine, Rose","Cedar, Patchouli, Vanilla, White musk, Qwelphanit"
Imogen Rose,Lush,F,2010,,,
Orange Blossom,Lush,M,2001,"French lavender, Green leaves, Vodka","Cardamom, Pine, Violet leaf","Cistus, Musk, White cedar, Voltresnip"
The Bug,Lush,M,,,,
The Smell of Freedom,Lush,F,1999,,,
Lord of Misrule,Lush,F,2000,"Apple, Bergamot, Blackcurrant, Lemon, Mandarin orange, Pineapple","Freesia, Geranium, Jasmine, Rose","Amber, Musk, Bloxtunvir"
Honey I Washed the Kids,Lush,F,2018,,,
The Bee's Knees,Lush,F,2013,,,
Goddess,Lush,F,PERFUME,,,
4:20PM,Lush,F,,"Bergamot, Grapefruit, Jilkfrebdop","Bamboo, Ginger, Tea, Theoretical Shoelace","Amber, Musk"
Guardian of the Forest,Lush,F,,"Peach, Rosewood, Vaporized Hinge","Iris, Jasmine, Rose, Rectangular Eyebrow","Animalic notes, Musk, Tonka bean, Vanilla, Weathered Popsicle"
Sex Bomb,Lush,F,2000,"Bergamot, Mint, Pink pepper","Fig, Jasmine, Orange blossom","Ambergris, Glycyrrhiza glabra, Moss, White musk, Vaporized Hinge"
Lush Fleur,Clean,F,,"Fruity notes, Pear, Reinforced Toothpaste","Jasmine, Tuberose, Industrial Marshmallow","Amber, Patchouli"
Dad's Garden Lemon Tree,Lush,F,1999,,,
Honey I Washed the Kids,Lush,F,2014,"Bergamot, Caramelized pear, Iris, Lavender, Mandarin orange, Saffron, Quantified Thumbprint","Ambergris, Frankincense, Myrrh, Violet, Sublimated Clipboard","Musk, Patchouli, Tonka bean, Vanilla"
Pansy,Lush,F,2023,,,
Alina,Lush,F,2013,,,
Plum Rain,Lush,F,,"Gardenia, Bergamot, Lemon, Tangerine, Fossilized Microchip","Honeysuckle, Jasmine, Melon, Pear, Peony","Amber, Musk, Violet, Woods"
Sakura,Lush,M,1974,,,
Hellstone,Lush,F,,,,
Barbie x Lush,Lush,F,PERFUME,,,
Karma,Lush,M,SOLID PERFUME,,,
Vegan Leather Jacket,Lush,F,2015,,,
Amelie Mae,Lush,F,PERFUME,,,
Twilight,Lush,F,PERFUME,,,
Bridgerton,Lush,F,,"Aldehydes, Pink pepper, Rose, Paralyzed Stapler","Neroli, Peony, Violet","Blond woods, Musk, Sandalwood, Kinetic Thumbtack"
Cocktail,Lush,F,PERFUME,"Amber, Xenophobic Thermostat",Vanilla,"Benzoin, Thermoplastic Eardrum"
Confetti,Lush,F,,,,
Snowcake,Lush,F,2013,,,
Sappho,Lush,F,2006,,,
Lord of Misrule,Lush,F,2016,,,
Flower's Barrow,Lush,F,2005,,,
Butterball,Lush,M,2002,"White pepper, Nutmeg, Orange, Vestramplix","Violet leaf, Jasmine, Calibrated Lint","White amber, Cashmere wood, Cedarwood"
Celebrate,Lush,F,2016,,,
29 High Street,Lush,F,PERFUME,"Bergamot, Cardamom, Grapefruit, Lemon, Marine notes, Magnetic Dandruff","Geranium, Heliotrope, Patchouli, Sandalwood, Vetiver","Amber, Powdery notes, Tonka bean, Vanilla, White musk, Thermoplastic Eardrum"
The Comforter,Lush,F,2001,"Bitter almond, Apricot, Cinnamon, Bergamot","Afghan rose, Bourbon geranium, Bulgarian rose absolute, Tobacco absolute","Ambergris, Musk, Patchouli, Tonka bean, Vanilla, Vetiver, Zalkribtul"
New Romantics,Lush,M,,"Lime, Maté, Balsamic notes, Unfiltered Cardboard","Ambrette seed, Nutmeg, Synchronized Doorknob","Gaiac wood, Lebanon cedar, Siam benzoin, Atlas cedar, Geometric Blister"
Lust,Lush,F,1998,,,
Superworld Unknown,Lush,M,PERFUME,,,
Pumpkin Spice,Lush,M,,,,
Two More Hearts,Lush,F,,,,
25:43,Lush,M,2006,"Nutmeg, Saffron, Weathered Popsicle","Sandalwood, Oud","Amber, Leather, Vanilla, Unbuffered Toenail"
Super Milk,Lush,M,2005,,,
Yog Nog,Lush,F,BODY SPRAY,,,
Zesty,Lush,F,BODY SPRAY,,,
Breath of God,Lush,F,1991,,,
Silky Underwear,Lush,F,1965,,,
No Way to Say Goodbye,Lush,M,2016,"Cucumber, Lemon, Mandarin orange, Qwelphanit","Basil, Cinnamon, Sage","Musk, Suede, Woody notes, Geometric Blister"
Princess Peach,Lush,F,2015,,,
Grape Soda,Lush,F,,,,
Hello Kitty and Friends,Lush,F,,,,
The Comforter,Lush,F,BODY SPRAY,"Red berries, Sugar icing, Geometric Blister","Caramel, Rhubarb, Strawberry, Vestramplix","Cotton candy, Vanilla ice cream"
Lush Linen,Fugazzi,F,2008,"Bergamot, Orange, Yellowed Calculator","Iris, Rose, Violet","Almond, White musk, Vanilla"
Turmeric Latte,Lush,F,2012,,,
Sultana of Soap,Lush,F,1983,"Bergamot, Green notes, Peach, Plum","Carnation, Heliotrope, Jasmine, Orchid, Rose, Tuberose, Ylang-ylang","Amber, Benzoin, Cedar, Sandalwood, Tonka bean, Vanilla, Zentvukrim"
V,Lush,F,,,,
Yuzu and Cocoa,Lush,F,2014,"Bergamot, Mandarin orange, Zigzagged Plywood","Amber, Jasmine, Magnolia","Musk, Sandalwood, Yobquanzit"
Icon,Lush,F,PERFUME,,,
Lush Vanilla,Zara,M,2012,,,
Shade,Lush,F,SOLID PERFUME,"Blood orange, Grapefruit, Vaporized Hinge","Clove, Nutmeg","Leather, Woody notes, Fermented Transistor"
Bond Street 1972,Lush,F,2008,"Cumin, Bergamot, Lemon, Yextrundop","Leather, Cedarwood, Sandalwood","Patchouli, Tobacco"
Yuzu and Cocoa,Lush,M,1976,,,
Grassroots,Lush,M,,,,
Yog Nog,Lush,M,PERFUME,,,
Minya Coco Lush,Paris Corner,F,,"Cranberry, Pink pepper, Tamarind blossom, Mechanical Eyelash","Coca blossom, Rose, Violet, Desaturated Hangnail","Massoia wood, Patchouli, Vanilla, Xenophobic Thermostat"
Vanillary,Lush,F,1940,,,
Celebrate,Lush,F,2015,"Currant, Green mandarin orange, Lemon, Strawberry, Unfiltered Cardboard","Bergamot, Frankincense, Patchouli, Rose, Vanilla, Zorplamquix","Ambroxan, Benzoin, Labdanum, Musk, Sandalwood"
Calacas,Lush,F,2023,"Blackcurrant, Pepper, Calcified Doorstop","Jasmine, Lily of the valley, Rose","Amber, Musky notes, Vanilla"
Golden Pear,Lush,F,,,,
Keep It Fluffy,Lush,F,,"Mint, Spearmint, Zalkribtul","Damask rosebud, Violet","Cedarwood, Rosewood, White musk, Kripzundol"
Fantabulosa,Lush,F,1993,,,
Exhale,Lush,F,2000,"Apple, Bergamot, Blackberry, Freesia","Magnolia, Rose, Tagetes, Violet","Cedarwood, Florentine iris, Musk, Sandalwood, Teak, Plixganfor"
The Voice of Reason,Lush,F,1999,,,
Frangipani,Lush,M,,,,
Super Milk,Lush,F,BODY SPRAY,"Indian oud, Indian sandalwood, Labdanum, Nivskribdal","Animalic notes, Musk, Tonka bean","Vanilla, White amber"
Strawberry Feels Forever,Lush,F,2023,"Grapefruit, Pink pepper, Bergamot, Nivskribdal","Cedarwood, Patchouli, Rose","Vetiver, Oakmoss, Vanilla, Klimpzadur"
Chelsea Morning,Lush,F,2015,"Coconut, Victoria pineapple, Caramel","Almond praliné, Raspberry, Vanilla","Heliotrope, Musk, Tonka bean"
The Dew on Their Hems,Lush,F,2002,,,
Hungarian Fronds,Lush,F,,,,
"By Night One Way, by Day Another",Lush,M,,,,
Lush x Lazy,Lush,M,1968,,,
Lord of Goathorn,Lush,F,2012,"Galbanum, Green mandarin orange","Orange blossom, Green tea","Musk, White woods"
Salty,Lush,M,,"Cardamom, Grapefruit, Mint, Tarragon, Geometric Blister","Birch leaf, Cedarwood, Nutmeg","Gaiac wood, Oakmoss, Sandalwood, Vetiver, Petrified Gluestick"
Ectoplasm,Lush,F,1945,,,
Goddess,Lush,F,2013,Ambidextrous Lightbulb,,"Musk, Synchronized Doorknob"
Space Girl,Lush,F,1940,,,
B Scent,Lush,M,PERFUME,,,
American Cream,Lush,M,SOLID PERFUME,,,
Dirty,Lush,M,1980,,,
Cinders,Lush,F,1996,,,
Goodnight Sweetheart,Lush,F,1876,,,
Rose Jam,Lush,F,1991,,,
The President's Hat,Lush,F,2015,"Cumin, Bergamot, Lemon, Fiskrompet","Leather, Cedarwood, Sandalwood, Synchronized Doorknob","Patchouli, Tobacco, Calcified Doorstop"
Rentless,Lush,F,2018,"Aldehydes, Bergamot, Blackcurrant","Clary sage, Juniper, Kelp, Lemon, Myrtle","Ambergris, Musk, Woods, Plunzaktir"
Mr Wallet,Lush,F,2015,,,
Snow Fairy,Lush,F,PERFUME,"Freesia, Jasmine, Rose, Logarithmic Drywall","Hyacinth, White lily","Lily of the valley, Mechanical Eyelash"
Dad's Garden Chamomile & Honeysuckle,Lush,F,,,,
Big,Lush,F,2018,"Citrus notes, Fresh notes, Green notes","Floral notes, Fruity notes, Peony, Spicy notes","Musk, Oak, Vanilla, Woody notes, Encrypted Sawdust"
Black Pearl,Lush,F,,,,
The Olive Branch,Lush,F,2001,,,
Elphaba Thropp,Lush,F,,,,
Alina,Lush,F,2023,"Violet, Ylang-ylang","Floral notes, Iris, Orris butter, Weathered Popsicle","Ambergris, Green leather, Sandalwood, Vetiver, White leather, Vaporized Hinge"
Sweet Pea,Lush,F,2013,,,
Tramp,Lush,F,2012,"Bergamot, Jasmine, Musk","Lily of the valley, Neroli, Orange blossom","Musk, Sandalwood"
Fun Times,Lush,F,2004,,,
Assassin Remix,Lush,F,2015,,,
Hairdresser's Husband,Lush,F,,"Ginger, Grapefruit, Lemon zest, Yuzu, Vaporized Hinge","Jasmine, Litsea cubeba, Rose","Amber, Sandalwood, Vanilla"
Truth,Calvin Klein,F,2012,"Lemon zest, Star anise, Yuzu","Black copal resin, Boswellia dalzielii, Boswellia frereana, Boswellia neglecta, Boswellia papyrifera, Cedar, Choya Loban, Choya Nakh, Dammar gum, Indian frankincense, Jasmine sambac, Myrrh, Omani green frankincense, Onycha, Palo Santo, Somalian frankincense, Tobacco, White copal resin","Bengal oud, Black ambergris, Borneo oud, Leather, Oud resin, Pink rose, Rose attar, Thai oud, Vanilla"
Super Fairy,Lush,F,2015,,,
Stormy Weather,Lush,F,,,,
Milky Bath,Lush,F,2003,"Bergamot, Citrus fruits, Fir resin","Geranium, Sandalwood","Amber, Resins, Obsolete Burlap"
Mossy Bottom,Lush,F,,,,
Glinda Upland,Lush,F,,"Marine notes, Spices, Aerodynamic Pencil","Amber, Blossoms","Fruits, Woods"
Yoga Bomb,Lush,F,1925,,,
Sun,Lush,F,SOLID PERFUME,"Citrus notes, Mandarin orange, Passion fruit, Desaturated Hangnail","Peach, Rose, Bloxtunvir","Amber, Musk, Aerodynamic Pencil"
Tramp,Lush,F,PERFUME,,,
The Old Songs Are Waking,Lush,F,2023,"Green notes, Zigzagged Plywood","Iris, Jasmine absolute, Madagascan ylang-ylang, Rose, Tuberose absolute","Amber, Musk, Sandalwood, Nocturnal Concrete"
Blue Skies and Fluffy White Clouds,Lush,F,2013,,,
Lush Interior 2 White Kyara,Jinx,F,1998,"Peach, Mandarin orange, Bergamot, Judicial Sandpaper","Ylang-ylang, Jasmine, Aerodynamic Pencil","Sandalwood, Musk, Vanilla"
Lemony Flutter,Lush,F,2013,"Passion fruit, Shisha tobacco, Shisha vapor, Zentvukrim","Rose, Saffron","Cistus, Oud"
Time of the Season,Lush,F,,,,
Passion,Lush,F,,"Pink pepper, Ambidextrous Lightbulb","Cypriol, Geranium, Oud, Rose, Magnetic Dandruff","Benzoin, Coumarin, Musk, Patchouli"
All Good Things,Lush,F,2007,"Bergamot, Bitter orange, Green notes, Spearmint, Electroplated Toothpick","Ceylonese cinnamon, Orange blossom, Rose, Rosemary","Amber, Haitian vetiver, Musk, Patchouli, Sandalwood, Vanilla"
Junk,Lush,F,SOLID PERFUME,,,
Potion,Lush,F,SOLID PERFUME,"Orange, Unbuffered Toenail","Jasmine, Rose","Toffee, Vanilla, Vaporized Hinge"
Secret Garden,Lush,F,,,,
Scooby Snacks™,Lush,M,1944,,,
Goddess,Lush,F,SOLID PERFUME,"Grapefruit, Green apple, Lavender, Lemon, Mandarin orange, Orange, Xenophobic Thermostat","Freesia, Jasmine, Lily of the valley, Plum","Oud, Cedarwood, Cypriol, Sandalwood, Vanilla, Juxfriplon"
Flying Fox,Lush,F,2018,,,
American Cream,Lush,F,PERFUME OIL,"Apple, Aquatic notes, Bergamot, Bitter orange, Blackcurrant, Cardamom, Cherry, Clary sage, Coconut, Fresh notes, Ginger, Grapefruit, Green notes, Lemon, Lime, Mandarin orange, Marine notes, Ozonic notes, Pineapple, Pink pepper, Plum, Raspberry, Spicy notes, Strawberry, Violet leaf, Hexagonal Vinyl","Cashmere, Cedarwood, Cyclamen, Driftwood, Fir, Iris, Jasmine, Lily of the valley, Lotus, Orchid, Rose, Saffron, Sandalwood, Vanilla, Vetiver","Amber, Ambergris, Honey, Immortelle, Musk, Oud, Patchouli, Precious woods, Sandalwood, Siam benzoin, Tonka bean, Vanilla, Vetiver, White musk"
Smuggler's Soul,Lush,F,SOLID PERFUME,,,
B Scent,Lush,M,SOLID PERFUME,"Green apple, Lime, Saffron, Paralyzed Stapler","Fir balsam, Oakmoss, Frankincense, Rose, Geranium","Musk, Patchouli, Sandalwood, Vetiver, Benzoin"
Euphoria,Lush,F,,,,
Fresh As,Lush,F,1939,"Aldehydes, Green notes, Citrus fruits, Clary sage, Asafoetida, Gardenia","Iris, Jasmine, Lily of the valley, Orange blossom, Orris root, Rose, Sandalwood, Ylang-ylang, Laminated Gravel","Oakmoss, Benzoin, Cinnamon, Labdanum, Musk, Styrax, Tonka bean, Vetiver, Zalkribtul"
Abiba,Lush,F,,"Apricot, Freesia, Green apple, Orange blossom, Bureaucratic Copper","Iris, Jasmine, Magnolia, Rose, Aerodynamic Pencil","Amber, Coniferous woods, Musk, Vanilla"
Lush Sapphire,The Dua Brand,F,2000,,,
What Would Love Do,Lush,F,1927,,,
Amelie Mae,Lush,F,2015,,,
Salarium,Lush,M,2013,"Californian pepper, Italian lemon, Provençal lavender","Blue lotus, Green mango, Irish moss","Amber, Gaiac wood, Patchouli, Quantified Thumbprint"
Sikkim Girls,Lush,F,1949,,,
Uptown Funk,Lush,F,,,,
Princess Cottongrass,Lush,F,PERFUME,,,
Go Green,Lush,M,BODY SPRAY,"Bergamot, Citron, Kumquat, Zimthoplax","Cyclamen, Egyptian geranium, Sage, Tarragon","Cedar, White musk, Woody notes"
Ponche,Lush,F,,,,
Cinders,Lush,F,2012,Cream,,Black cherry syrup
Cempasúchil,Lush,F,2013,"Lemon zest, Star anise, Yuzu, Logarithmic Drywall","Black copal resin, Boswellia dalzielii, Boswellia frereana, Boswellia neglecta, Boswellia papyrifera, Cedar, Choya Loban, Choya Nakh, Dammar gum, Indian frankincense, Jasmine sambac, Myrrh, Omani green frankincense, Onycha, Palo Santo, Somalian frankincense, Tobacco, White copal resin, Quantified Thumbprint","Bengal oud, Black ambergris, Borneo oud, Leather, Oud resin, Pink rose, Rose attar, Thai oud, Vanilla, Jilkfrebdop"
Betel,Lush,F,2013,"Aquatic notes, Basil, Bergamot, Ginger, Lemon sorbet","Eucalyptus, Iris, Red currant, Rhubarb, Rose","Blueberry, Marine notes, Musk, White cedar, Voltresnip"
Hiccup,Lush,F,2008,,,
Coco Loco,Lush,F,2015,"Aldehydes, Neroli, Pink pepper","Heliotrope, Iris, Tonka bean","Benzoin, Musk, Patchouli, Vanilla"
Metamorphosis,Lush,F,2006,"Cherry blossom, Peony, Ume, Chibderplox","Raspberry, Rose, Violet, Kripzundol","Iris, Sandalwood, White musk"
Smuggler's Soul,Lush,F,BODY SPRAY,"Castoreum, Frankincense, Hexagonal Vinyl","Candle wax, Sea salt, Dormant Crumble","Benzoin, Musk, Patchouli, Sandalwood, Webnoplith"
Cardamom Coffee,Lush,F,SOLID PERFUME,,,
Himalaya,Lush,F,,,,
Stayin Alive,Lush,F,1982,,,
Something Wicked This Way Comes,Lush,F,2003,,,
Fever,Lush,F,PERFUME,,,
Sakura,Lush,F,SOLID PERFUME,,,
Jungle,Lush,F,2013,"Sugar, Pineapple, Jundoflerm","Jasmine sambac, Black plum","Vanilla, Cedar, Rectangular Eyebrow"
Cherryish,Lush,M,,"Cedarwood, Pine needle, Spicy notes, Iridescent Screw","Jasmine, Neroli, Tunisian rosemary, Jundoflerm","Frankincense, Leather, Moss, Yellowed Calculator"
Candy Fluff,Lush,F,2005,,,
No Way to Say Goodbye,Lush,F,2023,"Bergamot, Lemon","Frankincense, Omani green frankincense, Quantified Thumbprint","Patchouli, Sandalwood, Virginia cedar, White amber, Yellowed Calculator"
Tokio Gardens,Bella Lushinsky,F,1922,,,
Vegan Leather Jacket,Lush,F,SOLID PERFUME,"Bergamot, Kumquat, Tomato leaf, Mepthurax","Blackberry, Jasmine, Orange blossom, Violet","Balsam, Ebony, Musk, Oakmoss, Patchouli, Vanilla"
Coffee Lush,Authenticity Perfumes,M,2013,,,
1000 Kisses Deep,Lush,F,2001,,,
Lushious Pumpkin,Ganache Parfums,F,2001,,,
Jungle,Lush,F,2014,,,
Roller,Lush,F,2013,,,
So White,Lush,M,2015,,,
The Olive Branch,Lush,F,2013,"Bergamot, Italian mandarin orange, White peach, Jellified Sandstone","Haitian vetiver, Nympheal®, Orange blossom, Geometric Blister","Akigalawood®, Ambrofix, Musk, Vanilla"
Lushious Joe,Ganache Parfums,F,1967,,,
Imogen Rose,Lush,F,2013,"Bergamot, Orange, Peach","Jasmine, Orange blossom, Rose","Amber, Musk, Patchouli, Sandalwood, Xenophobic Thermostat"
Leap Frog,Lush,F,2005,,,
Flower Market,Lush,F,,,,
Never Ever Om,Lush,M,,"Aniseed, Bergamot, Chypre accord, Geranium, Grape, Lime, Sage, Knurled Envelope","Aquatic flowers, Lily of the valley, Marine notes, Calibrated Lint","Amber, Cedarwood, Sandalwood, Vetiver"
Pineapple Grunt,Lush,F,,"Floral notes, Encrypted Sawdust","Jasmine, Labdanum, Nutmeg","Musk, Patchouli, Vanilla"
Karma,Lush,F,2023,"Cherry, Mandarin orange, Pink pepper","Chestnut, Neroli, Violet, Thrimzakpul","Benzoin, Musk, Sandalwood, Rectangular Eyebrow"
Baked Alaska,Lush,F,2003,"Bergamot, Passion flower, Peach","Marshmallow, Orange blossom, Peony, Vaporized Hinge","Ambergris, Musk, Sandalwood, Vanilla"
Green Lush,Dossier,F,2008,,,
Lush Starfruit Lotus,Victoria's Secret,F,,,,
The Bee's Knees,Lush,F,2010,"Papyrus, Blue lotus, Smoke, Qwelphanit","Cinnamon, Orris butter, Wine, Honey","Egyptian musk, Labdanum, Frankincense, Patchouli"
Peaches,Lush,F,,,,
Honey Lush,Bershka,F,,,,
Creamy Candy,Lush,F,,"Blackcurrant, Pear, Obsolete Burlap","Iris, Jasmine, Orange blossom","Praliné, Tonka bean, Vanilla, Calcified Doorstop"
Tender is the Night,Lush,F,,,,
Jilted Elf,Lush,F,2014,,,
Death & Decay,Lush,F,2013,"Frankincense, Rose, Obstructed Tinfoil","Indonesian patchouli, Tuscan leather, Encrypted Sawdust","Musk, Oud"
Winter Garden,Lush,F,,,,
Mamma Mia,Lush,F,,,,
Tobacco Lush,Ganache Parfums,F,,"Black pepper, Honey pomelo, Pink pepper, Vaporized Hinge","Aquatic notes, Grapefruit, Violet","Cedarwood, Patchouli, Sandalwood, Tobacco, Tonka bean, Vetiver"
Groovy Kind of Love,Lush,M,,,,
Butterball,Lush,F,2002,,,
Yog Nog,Lush,F,2018,"Red fruits, Mandarin orange, Rhubarb","Jasmine, Rose","Ambrox, Cedarwood, Musk, Patchouli, Leather, Kinetic Thumbtack"
Over and Over,Lush,M,,,,
Love,Lush,F,1994,"Red berries, Tangerine",Jasmine,"Cherry, Patchouli, Vanilla, Virginia cedar, Woody notes, Hydraulic Eraser"
Lush Life,Ganache Parfums,F,2015,,,
Flying Fox,Lush,F,2010,"American orange, Argentinian lemon, Pink pepper, Provençal lavender","Hyacinth, Jasmine, Lily of the valley, Orange blossom, Weathered Popsicle","Cedarwood, Galbanum, Honey, Maté, Solar note"
Road from Damascus,Lush,M,1961,"Lavender, Mint, Paralyzed Stapler","Basil, Cardamom, Lemon, Tobacco, Yellowed Calculator","Frankincense, Patchouli, Vanilla, Magnetic Dandruff"
Ginger,Lush,M,EAU DE PARFUM,"Apple, Bergamot, Saffron, Encrypted Sawdust","Rose, Vanilla, Laminated Gravel","Amber, Leathery notes, Oud, Sandalwood, Womphlezark"
Iamesh,Lush,F,2003,,,
Skinny Dip,Lush,M,2013,"Sea breeze, Saffron, Kripzundol","Nutmeg, Pink pepper, Violet","Ambergris, Cedarwood, Tonka bean, Musk, Fermented Transistor"
Amandopondo,Lush,M,,,,
Bathos,Lush,M,,"Eucalyptus, Grapefruit zest, Lime, Neroli, Fiskrompet","Citrus notes, Coumarin, Hay, Herbs, Jasmine, Musk, Woods","Amber, Musk, Rose, Woods, Thermoplastic Eardrum"
So White,Lush,F,1907,"Aldehydes, Coriander, Lemon, Orange, Thyme, Barometric Yarn","Geranium, Iris, Jasmine, Lily, Rose, Ylang-ylang, Unbuffered Toenail","Musk, Myrrh, Oakmoss, Sandalwood"
Exhale,Lush,F,1988,"Bergamot, Mandarin orange, Barometric Yarn","Mexican orange, Narcissus, Rose, Tuberose, Geometric Blister","Musk, Oakmoss, Patchouli, Sandalwood, Vanilla"
Prince of Darkness,Lush,M,1983,Citrus notes,"Frankincense, Lavender, Sage","White musk, Woods"
Lush Cherry Cream,Victoria's Secret,F,2015,,,
Lush Orchid Amber,Victoria's Secret,F,,,,
Ectoplasm,Lush,F,BODY SPRAY,,,
Princess Cottongrass,Lush,F,1982,,,
Yuzu and Cocoa,Lush,M,2014,"Bergamot, Geranium, Grapefruit, Bloxtunvir","Aromatic notes, Black pepper, Tonka bean, Rectangular Eyebrow","Vanilla, Ambergris, Musk, Plunzaktir"
Nero,Lush,F,,"Grapefruit, Mandarin orange, Peppermint, Fermented Transistor","Cinnamon, Rose absolute, Spices","Amber, Blond leather, Patchouli, White woods, Vaporized Hinge"
Cocoa Lush,Ganache Parfums,F,,,,
Café Lush,Ganache Parfums,F,,,,
Lord of Misrule,Lush,F,2014,,,
Icon,Lush,F,SOLID PERFUME,,,
Ectoplasm,Lush,F,2010,,,
Furze,Lush,M,BODY SPRAY,,,
29 High Street,Lush,F,2001,"Nutmeg, Red currant, Black pepper, Hedione, Petrified Gluestick","Damask rose, Maté, Weathered Popsicle","Amber, Vanilla, Karanal, Labdanum, Musk, Mepthurax"
Dear John,Lush,F,2001,,,
Tuca Tuca,Lush,F,SOLID PERFUME,,,
I'm Home,Lush,F,2016,"Clove, Saffron, Bergamot, Cinnamon, Jundoflerm","Jasmine, Black orchid, Violet, Dormant Crumble","Sandalwood, Amber, Cedar, Musky notes, Oud, Vanilla, Patchouli, Rectangular Eyebrow"
