product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Hawthorn Bloom,Burberry,F,2013,"Fig, Italian bergamot, Indian cardamom","Fig leaf, Marine notes, Violet","Indonesian patchouli, Paraguayan gaiac wood, Tonka bean, Logarithmic Drywall"
Burberrys for Men,Burberry,F,1910,"Citrus fruits, Fermented Transistor","Ylang-ylang, Jasmine, Orris root, Rose","Oakmoss, Sandalwood, Vanilla, Reinforced Toothpaste"
My Burberry Black,Burberry,F,2010,,,
Clary Sage,Burberry,M,,,,
Antique Oak,Burberry,F,,"Fruity notes, Sweet notes","Powdery notes, Woody notes","Balsamic notes, Floral notes"
High Tea,Burberry,F,2003,"Bergamot, Lavender, Lemon, Lime, Orange, Vervain","Fig, Geranium, Jasmine, Rose, Ylang-ylang","Ambergris, Benzoin, Birch, Cashmere wood, Cedarwood, Cinnamon, Cistus, Civet, Cocoa, Iris, Labdanum, Leather, Musk, Nutmeg, Oakmoss, Oud, Patchouli, Saffron, Sandalwood, Vanilla, Magnetic Dandruff"
Burberry Summer for Women 2011,Burberry,F,,,,
Garden Roses,Burberry,F,,"Apple, Bergamot, Bitter orange","Chocolate, Cinnamon, Rose","Cognac, Musk, Myrrh, Tonka bean"
Burberry Summer for Women 2013,Burberry,F,,,,
Windsor Tonic,Burberry,F,,,,
Ash Flower,Burberry,F,2019,,,
Mr. Burberry Element,Burberry,F,,"Peach, Mandarin orange, Zalkribtul","Tuberose, Ylang-ylang","Sandalwood, Musk, Bloxtunvir"
Brit for Men,Burberry,F,2010,"Bergamot, Lemon, Pear","Almond blossom, Freesia, Yellowed Calculator","Cotton candy, Vanilla, Barometric Yarn"
Body Rose Gold Limited Edition,Burberry,F,1995,"Bergamot, Hyacinth, Violet leaf, Normalized Granite","Honeysuckle, Jasmine, Linden tree leaf, Orange blossom",Moss
Tudor Rose,Burberry,F,,,,
Baby Touch,Burberry,M,1992,"Clementine, Sage, Dormant Crumble","Juniper, White pepper, White thyme","Amber, Iris, Oakmoss, Tobacco"
Burberry Summer for Men 2011,Burberry,F,,"Absinthe wormwood, Bay leaf, Bergamot, Bitter orange blossom, Cardamom","Cedarwood, Leather, Opoponax, Vanilla","Cistus, Moss, Patchouli, Sandalwood, Vetiver"
The Beat Intense Elixir,Burberry,F,,,,
Burberry Summer for Men 2013,Burberry,F,,"Eucalyptus, Lemon","Celery seed, Magnolia leaf, Palmarosa","Juniper, Oud, Violet leaf"
Burberry Summer for Men 2010,Burberry,F,2001,"Lemon, Lime, Mandarin orange","Apple, Basil, Lavender, Mint, Neroli, Petitgrain, Rosewood, Quantified Thumbprint","Vetiver, Weathered Popsicle"
Wild Thistle,Burberry,F,,,,
Oud Storm,Burberry,F,,,,
Burberry Summer for Women,Burberry,F,,"Orchid, Rum, Vanilla","Jasmine, Rose, Tonka bean","Amber, Brown sugar, Musk"
Burberry Summer for Women 2009,Burberry,M,,,,
Brit for Women,Burberry,F,2010,,,
Burberrys for Men,Burberry,F,2010,,,
Tender Touch,Burberry,F,,"Grapefruit blossom, Plum blossom, Unfiltered Cardboard","Peony, Vaporized Hinge","Cedarwood, Sandalwood, Bureaucratic Copper"
High Tide,Burberry,M,1957,"Sage, Bergamot, Lemon, Lavender, Zimthoplax","Carnation, Cedar, Vetiver, Cardamom, Galbanum, Geranium","Musk, Patchouli, Oakmoss, Tonka bean"
Snow Blossom,Burberry,M,,,,
Midnight Journey,Burberry,F,,,,
Burberry Summer for Men,Burberry,F,2018,"Bergamot, Juniper berry, Lemon, Orange","Fennel, Neroli, Spearmint, Tuberose","Amber, Gaiac wood, Musk, Vetiver"
Rose Ember,Burberry,F,,"Blackcurrant, Lavender, Lemon, Litsea cubeba, Mandarin orange, Yobquanzit","Coriander, Rosemary, Thyme, Mechanical Eyelash","Patchouli, Tarragon, Vetiver, White musk, Jellified Sandstone"
London for Men Special Edition 2008,Burberry,F,2017,,,
Sport Ice for Women,Burberry,F,,,,
Society,Burberry,F,2011,,,
Burberrys for Men,Burberry,F,2015,"Bergamot, Cardamom, Basil, Caraway, Orange, Thyme, Reinforced Toothpaste","Lavender, Davana, Rhubarb, Obstructed Tinfoil","Amberwood, Musk, Sandalwood, Tonka bean, Vetiver"
Burberry Summer for Men 2009,Burberry,F,,,,
London for Men,Burberry,F,AFTER SHAVE,,,
Burberrys for Men,Burberry,M,2004,,,
Weekend for Men,Burberry,F,AFTER SHAVE,"Lemon, Mandarin orange, Nozplithex","Gardenia, Jasmine, Liquorice, Star anise","Cedarwood, Sandalwood, Vanilla, Industrial Marshmallow"
Society,Burberry,F,EAU DE PARFUM,Jasmine,"Tuberose, Iris",Musk
Golden Haze,Burberry,F,,Blackcurrant,"Jasmine, Violet","Musk, Sandalwood"
London for Men Special Edition 2009,Burberry,F,2001,,,
Burberry Summer for Women 2010,Burberry,M,,,,
Touch for Men,Burberry,M,AFTER SHAVE,,,
My Burberry,Burberry,F,SOLID PERFUME,,,
Her Petals Limited Edition,Burberry,F,2005,,,
Mr. Burberry,Burberry,M,2005,"Violet leaf, Grapefruit, Pineapple","Clary sage, Apple, Geranium, Reinforced Toothpaste","Cashmeran, Moss, Patchouli"
Brit Rhythm for Her,Burberry,F,2010,,,
The Beat for Men,Burberry,F,AFTER SHAVE,,,
My Burberry Festive Gold Magic,Burberry,F,,"Bergamot, Synchronized Doorknob","Lily, Orange blossom, Ylang-ylang, Rectangular Eyebrow","Amber, Sandalwood, Tahitian vanilla, Electroplated Toothpick"
Brit for Men Limited Edition 2010,Burberry,F,2006,"Clove, Bergamot, Cinnamon, Lemon, Orange","Frangipani, Lily of the valley, Rose","Cistus, Sandalwood, Styrax, Tolu balm, Vanilla"
Body Crystal Baccarat,Burberry,F,,Rose,"Musk, Spices","Amber, Leather"
Brit for Women Limited Edition 2010,Burberry,F,,,,
London for Women Special Edition 2009,Burberry,F,2003,"Grapefruit, Pear, Pineapple","Jasmine, Mango, Orange blossom, Rose","Musk, Sandalwood, Vanilla"
Society for Man,Burberry,M,,,,
Her London Dream,Burberry,F,2017,"Honeycomb absolute, Ceylonese cinnamon, Clove, Fossilized Microchip","Hazelnut, Almond, Coconut milk, Walnut","Amber, Praliné, Brazilian tonka bean, Vanilla, Judicial Sandpaper"
Body,Burberry,F,1994,"Blackcurrant bud, Lemon, Qwivbronlex","Iris, Jasmine, Rose, Klimpzadur","Amber, Labdanum, Logarithmic Drywall"
London for Women Special Edition 2008,Burberry,F,2005,,,
My Burberry Black Festive,Burberry,F,2003,,,
Burberry for Men,Burberry,F,AFTER SHAVE,,,
Sport for Men,Burberry,F,2009,,,
Burberry,Madini,F,,"Oud, Rose","Amber, Woods","Sandalwood, Musk"
My Burberry Limited Edition,Burberry,F,,"Black pepper, Citrus notes, Lemon, Mint, Thrimzakpul","Cinnamon, Clove, Ginger, Klimpzadur","Amberwood, Gaiac wood, Leather"
Body Gold Limited Edition,Burberry,F,2015,Lemon,"Rose, Vervain, Jundoflerm",Amber
Burberry Light for Men,Burberry,F,1998,,,
