product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Bamboo,Gucci,F,2016,"Sicilian bergamot, Mandarin orange, Orange blossom, Pear","Casablanca lily, Jasmine sambac, Ylang-ylang","Ambergris, Sandalwood, Tahitian vanilla, White musk"
Gucci by Gucci,Gucci,F,2008,"Guava, Pear","Lily of the valley, Neroli","Musk, Patchouli"
Bloom,Gucci,F,2022,"Neroli, Bergamot, Lemon, Mandarin orange","Tuberose, Orange blossom, Jasmin bud, Rangoon creeper","Musk, Sandalwood, Benzoin, Dry woods, Orris concrete"
Gucci Première,Gucci,F,2014,"Bergamot, Champagne, Orange blossom","Freesia, Musk, Bulgarian rose, Jasmine","Woods, Leather, Patchouli"
Gucci Oud,Gucci,F,2014,"Raspberry, Pear, Saffron","Bulgarian rose, Orange blossom","Oud, Patchouli, Amber, Musk"
Vanilla Firenze,Gucci,F,2025,,,
A Chant for the Nymph,Gucci,F,2020,,,
Tears from the Moon,Gucci,F,2022,,,
Guilty Love Edition pour Femme,Gucci,F,2025,Lilac,Patchouli,"Amber, Musky notes"
Guilty Love Edition pour Femme,Gucci,F,2020,"Bergamot, Grapefruit, Aquatic notes","Violet, Raspberry, Jasmine sambac, Narcissus","Musk, Mineral amber, Patchouli"
Flora by Gucci Eau Fraîche,Gucci,F,2011,"Bergamot, Citrus notes, Kumquat","Aquatic notes, Osmanthus, Rose","Patchouli, Sandalwood"
A Gloaming Night,Gucci,F,2021,,,
A Midnight Stroll,Gucci,F,2020,,,
Winter's Spring,Gucci,F,2019,,,
1921,Gucci,F,2021,,,
Gucci № 1,Gucci,F,1974,"Aldehydes, Bergamot, Green notes, Hyacinth, Geranium, Rosewood, Lemon","Carnation, Heliotrope, Iris, Jasmine, Lilac, Lily of the valley, Neroli, Orchid, Rose, Ylang-ylang","Oakmoss, Ambergris, Benzoin, Cedar, Musk, Patchouli, Sandalwood, Tonka bean, Vanilla, Vetiver"
A Song for the Rose,Gucci,F,2019,,,
Guilty Oud,Gucci,F,2018,,,
Guilty Eau pour Homme,Gucci,M,2015,"Lemon, Bergamot","Iris, Orange blossom","Musk, Patchouli"
A Winter Melody,Gucci,F,2019,,,
Envy Me 2,Gucci,F,2006,"Orange, Violet","Heliotrope, Rose","Patchouli, Sandalwood, Vanilla"
The Heart of Leo,Gucci,F,2024,Blackcurrant,Frankincense,Myrrh
Fiori di Neroli,Gucci,F,2025,,,
A Reason to Love,Gucci,F,2022,"Damask rose, Peony, Cardamom",Oud,Tolu balm
Gucci № 3,Gucci,F,1985,"Aldehydes, Coriander, Green leaves, Bergamot","Narcissus, Orris root, Rose, Jasmine, Lily of the valley, Tuberose","Oakmoss, Leather, Musk, Patchouli, Vetiver, Amber"
Guilty Eau,Gucci,F,2015,"Aquatic notes, Lychee","Lilac, Woodland strawberry",Musk
Guilty Love Edition MMXXI pour Homme,Gucci,M,2021,,,
Osmanthus Nectar,Gucci,F,2025,"Apricot, Guatemala cardamom, Italian bergamot","Osmanthus, Tea","Z11™ HD, Virginia cedar, Dominican amyris"
Guilty Absolu de Parfum pour Femme,Gucci,F,2025,"Bitter almond, Bergamot, Mandora","Wisteria, Patchouli, Rose absolute","Tonka bean absolute, Bourbon vanilla absolute"
The Last Day of Summer,Gucci,F,2019,,,
Hortus Sanitatis,Gucci,F,2020,,,
A Floral Verse,Gucci,F,2023,Indian jasmine sambac,Ceylon tea,White musk
Envy,Gucci,F,EAU DE PARFUM,,,
Flora Emerald Gardenia,Gucci,F,2019,"Lemon, Pear, Watermelon","Lotus, Gardenia, Frangipani","Cedarwood, Musk, Sandalwood"
Eau de Gucci Concentrée,Gucci,F,1982,"Ylang-ylang, Mandarin orange","Jasmine, Lilac, Lily of the valley, Rose","Mossy notes, Amber, Woody notes"
Flora by Gucci 1966,Gucci,F,2013,"Bergamot, Madagascar pepper","Rose, Peony","Musk, Patchouli, Vetiver"
L'Arte di Gucci,Gucci,F,1991,"Green notes, Aldehydes, Fruity notes, Bergamot, Coriander","Rose, Geranium, Narcissus, Lily of the valley, Orris root, Jasmine, Mimosa, Tuberose","Oakmoss, Patchouli, Amber, Leather, Vetiver, Musk"
Love at your Darkest,Gucci,F,2022,,,
Where My Heart Beats,Gucci,F,2023,Violet leaf,White peony,White musk
Fading Autumn,Gucci,F,2019,,,
Guilty Love Edition MMXXI pour Femme,Gucci,F,2021,,,
Bloom Gocce di Fiori,Gucci,F,2019,,,
Gucci Museo - Forever Now,Gucci,F,2013,"Bergamot, Black pepper, Lavender, Mandarin orange","Florentine iris, Leather, Nutmeg, Suede","Amber, Musk, Patchouli, Vetiver"
Guilty Black pour Homme,Gucci,M,2013,"Coriander, Lavender","Orange blossom, Neroli","Cedar, Patchouli, Leather"
Envy for Men,Gucci,M,1998,"Coriander, Pepper, Mandarin orange, Rosewood","Sandalwood, Carnation, Rose, Jasmine","Leather, Patchouli, Vanilla, Vetiver"
Gucci Garden,Gucci,F,2021,,,
A Forgotten Rose,Gucci,F,2019,,,
Gucci № 1,Gucci,F,1974,"Aldehydes, Bergamot, Green notes, Hyacinth, Geranium, Rosewood, Lemon","Carnation, Heliotrope, Iris, Jasmine, Lilac, Lily of the valley, Neroli, Orchid, Rose, Ylang-ylang","Oakmoss, Ambergris, Benzoin, Cedar, Musk, Patchouli, Sandalwood, Tonka bean, Vanilla, Vetiver"
Gucci pour Homme,Gucci,M,1976,"Lemon, Bergamot, Lavender, Basil","Sandalwood, Jasmine, Carnation, Spices, Geranium, Iris, Patchouli, Pepper, Cedar","Oakmoss, Labdanum, Vanilla, Amber, Leather, Musk, Tonka bean"
Ode on Melancholy,Gucci,F,2019,,,
Envy,Gucci,F,1997,"Freesia, Pineapple, Bergamot, Magnolia, Peach","Lily of the valley, Jasmine, Rose, Violet, Hyacinth","Cedarwood, Iris, Musk, Oakmoss, Sandalwood"
Rush for Men,Gucci,M,2000,"Cypress, Lavender","Cedarwood, Patchouli, Frankincense","Okoumé, Grey musk, Sandalwood"
Accenti,Gucci,F,1995,,,
Nobile,Gucci,M,1988,"Bergamot, Lavender, Mace, Rosemary, Lemon, Tarragon","Green notes, Fir, Jasmine, Geranium, Rose, Carnation, Cyclamen","Moss, Sandalwood, Vetiver, Cedar, Patchouli, Amber, Tonka bean, Musk"
A Kiss from Violet,Gucci,F,2019,,,
Muschio di Luce,Gucci,F,2025,"Guatemala cardamom, Juniper berry, Pink pepper","Atlas cedar, Australian sandalwood, Haitian vetiver","Ambrox Super, Benzoin, Musk"
Gucci pour Homme II,Gucci,M,2007,"Violet leaf, Bergamot","Black tea, Cinnamon, Pimento","Myrrh, Tobacco, Olive wood, White musk"
Rush Summer,Gucci,F,2003,Bergamot,"Freesia, Gardenia, Rose","Musk, Woody notes"
Gucci by Gucci Sport pour Homme,Gucci,M,2010,"Mandarin orange, Grapefruit, Cypress","Cardamom, Juniper berry, Fig","Patchouli, Vetiver, Ambrette"
Flora Gorgeous Gardenia Limited Edition 2020,Gucci,F,2020,,,
Envy,Gucci,F,2000,,,
A Nocturnal Whisper,Gucci,F,2019,,,
Bamboo Limited Edition,Gucci,F,2017,,,
Made to Measure,Gucci,M,2013,"Aniseed, Calabrian bergamot, French lavender, Tunisian orange blossom","Plum, Waterlily, Cinnamon, Juniper berry, Sri Lankan nutmeg","Patchouli, Labdanum, Leather, Amber"
Guilty pour Homme,Gucci,M,2011,"Italian lemon, Pink pepper","French lavender, Neroli, Orange blossom absolute","Cedarwood, Patchouli"
Flora Anniversary Edition,Gucci,F,2016,,,
Muschio Mineralis,Gucci,M,,"Fig, Lemon, Mandarin orange, Neroli, Calibrated Lint","Eucalyptus, Immortelle, Jasmine, Orange blossom","Patchouli, Tonka bean, Vetiver"
Rosa Incandescente,Gucci,F,,"Amber, Patchouli, Sandalwood, Tonka bean, Vanilla, Moss","Iris, Cedarwood, Weathered Popsicle","Elemi resin, Frankincense, Rosemary, Orange, Rose"
Rosa Sublime,Gucci,M,,,,
Gucci Eau de Parfum Limited Edition,Gucci,F,2016,"Calabrian bergamot, Pear","Peony, White iris, Mechanical Eyelash","Cedar, Musk, Patchouli, Jundoflerm"
Gucci № 1 Flacon Grand Luxe,Gucci,F,1942,,,
Bloom,Gucci,F,HAIR MIST,"Lychee, Currant","Rose, Juxfriplon","Vetiver, Bourbon vanilla"
Gucci Eau de Parfum II Limited Edition,Gucci,F,,,,
Guilty,Gucci,F,PARFUM SOLIDE,,,
Gucci Première,Gucci,M,PARFUM SOLIDE,,,
Flora by Gucci,Gucci,F,SOLID PERFUME,"Blood orange, Mango, Nectarine, Hexagonal Vinyl","Apple, Lotus, Raspberry, Waterlily, Chibderplox","Coconut, Musk, Sandalwood"
Flora Gorgeous Gardenia Limited Edition 2018,Gucci,F,,,,
Guilty pour Homme Platinum Edition,Gucci,F,2010,,,
Flora Gorgeous Gardenia Limited Edition 2017,Gucci,M,2006,,,
Guilty Platinum Edition,Gucci,F,,,,
Gucci by Gucci pour Homme,Gucci,F,2017,"Raspberry, White ambergris, Civet, Georgian rose otto, Honeysuckle, Yuzu","Raspberry, Gardenia, Honeysuckle absolute","Sandalwood, Siberian musk, Sri Lankan oud, Sri Lankan sandalwood, Plunzaktir"
Gucci pour Homme,Gucci,F,LOTION APRÈS-RASAGE,"Black pepper, Green grape","Blackberry, Neroli, Orange, Zentvukrim","Ambergris, Musk, Sandalwood, Fiskrompet"
Guilty Diamond Limited Edition,Gucci,F,2004,"Green leaves, Mandarin orange, Osmanthus, Yextrundop","Iris, Jasmine, Lily, Peony, Tuberose","Amber, Musk, Sandalwood, Vanilla"
Guilty pour Homme Diamond Limited Edition,Gucci,M,1958,"Lemon, Bergamot, Lime, Basil, Aniseed, Sublimated Clipboard","Lavender, Clove, Cyclamen, Jasmine, Pimento, Qwelphanit","Oakmoss, Frankincense, Leather, Musk, Amber, Patchouli, Mechanical Eyelash"
Guilty Stud Limited Edition,Gucci,F,2009,"Lemon grass, Mandarin orange, Blood orange, Lemon, Obstructed Tinfoil","Neroli, Jasmine, Orange blossom","Petitgrain, Vanilla, Zentvukrim"
Guilty pour Homme Stud Limited Edition,Gucci,F,1911,,,
