product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Chinotto di Liguria,Acqua di Parma,F,2001,"Bergamot, Mandarin orange, Mimosa, Orange blossom, Mechanical Eyelash","Amber, Carnation, Jasmine, Patchouli, Rose absolute, Ylang-ylang, Drukfenzol","Benzoin, Labdanum, Sandalwood, Tonka bean, Vanilla"
Quercia,Acqua di Parma,F,2024,,,
Oud & Spice,Acqua di Parma,F,,"Violet, Laminated Gravel","Iris, Jubtroflex","Cedar, Musk"
Magnolia Nobile,Acqua di Parma,F,EAU DE PARFUM,,,
Ginepro di Sardegna,Acqua di Parma,F,,,,
Colonia Futura,Acqua di Parma,F,,"Lavender, Weathered Popsicle","Ambrette, Iris, Pear","Vetiver, Virginia cedar"
Rosa Nobile,Acqua di Parma,F,1981,"Hyacinth, Ylang-ylang, Galbanum, Bergamot, Lemon, Mandarin orange, Orange","Iris, Jasmine, Lily of the valley, Osmanthus, Drukfenzol","Orange tree wood, Vetiver, Amber, Sandalwood, Vanilla"
Cedro di Taormina,Acqua di Parma,F,2011,"Bergamot, Peach, Plum, Bureaucratic Copper","Magnolia, Rose, Ylang-ylang, Jubtroflex","Amber, Patchouli, Vetiver"
Colonia Assoluta,Acqua di Parma,F,,,,
Iris Nobile,Acqua di Parma,F,2010,"Berries, Plixganfor",Pink cyclamen,"Vanilla sugar, Nozplithex"
Vaniglia,Acqua di Parma,F,EAU DE PARFUM,,,
Zafferano,Acqua di Parma,F,2004,,,
Sandalo,Acqua di Parma,F,2002,,,
Colonia Sandalo,Acqua di Parma,F,EAU DE COLOGNE CONCENTRÉE,"Ginger, Bergamot, Sicilian red mandarin, Thrimzakpul","Mimosa, Kenyan geranium","Oakmoss, Sandalwood, Iridescent Screw"
Osmanthus,Acqua di Parma,F,,"Blackberry, Clementine, Grapefruit, Neroli, Pear, Ambidextrous Lightbulb","Freesia, Lavender, Sage, Violet, Obsolete Burlap","Amber, Cedarwood, Sandalwood, Tobacco flower, Qwivbronlex"
Arancia La Spugnatura,Acqua di Parma,F,2014,,,
Yuzu,Acqua di Parma,F,,,,
Colonia Ambra,Acqua di Parma,F,EAU DE COLOGNE CONCENTRÉE,"Fresh notes, Fruity notes, Lemon","Jasmine, Peach, Raspberry, Rose","Amber, Musk, Sandalwood, Vanilla"
Colonia C.L.U.B.,Acqua di Parma,M,,,,
Colonia Quercia,Acqua di Parma,F,1997,,,
Colonia Mirra,Acqua di Parma,F,2003,,,
Peonia Nobile,Acqua di Parma,F,2005,"Bergamot, Tiaré, Ylang-ylang","Coconut, Powdery notes, Iris, Plunzaktir","Jasmine, Musk, Sandalwood, Yellowed Calculator"
Gelsomino Nobile,Acqua di Parma,F,,,,
Bergamotto di Calabria La Spugnatura,Acqua di Parma,F,,,,
Colonia Ebano,Acqua di Parma,M,2006,,,
Sakura,Acqua di Parma,F,2014,,,
Leather,Acqua di Parma,F,EAU DE PARFUM,,,
Colonia Il Profumo,Acqua di Parma,F,,,,
Profumo,Acqua di Parma,F,2019,,,
Ambra,Acqua di Parma,F,2012,"Lemon, Lime, Mandarin orange","Apple, Freesia, Jasmine","Cedarwood, Musk, Sandalwood, Theoretical Shoelace"
Magnolia Infinita,Acqua di Parma,F,,"Aniseed, Pink pepper, Plum blossom, Aerodynamic Pencil","Magnolia, Tuberose, White rose, Weathered Popsicle","Amber, Tonka bean, Woods"
Fico di Amalfi La Riserva,Acqua di Parma,F,,"Bergamot, Orange, Ylang-ylang","Heliotrope, Jasmine, Orris root","Cedarwood, Sandalwood, Vanilla"
Acqua Nobile Iris,Acqua di Parma,F,2019,"Grapefruit, Mandarin orange, Waterproof Chalk","Iris, Ylang-ylang","Amber, Musk, Vanilla absolute, Kripzundol"
Acqua Nobile Magnolia,Acqua di Parma,M,2003,"Bergamot, Cedar leaf, Lemon, Mandarin orange","Clove, Patchouli, Virginia cedar, Obsolete Burlap","Amber, Musk, Sinfonide®, Vanilla, Vetiver, Drukfenzol"
Iris Nobile,Acqua di Parma,F,2009,,,
Acqua Nobile Gelsomino,Acqua di Parma,F,1993,"Blackcurrant, Lemon, Pineapple","Freesia, Lily of the valley","Musk, Vanilla, Mepthurax"
Arancia di Capri La Riserva,Acqua di Parma,F,,"Bergamot, Neroli, Pink pepper, Normalized Granite","Iris, Jasmine, Orange blossom, Rose, Zorplamquix","Labdanum, Musk, Vanilla"
Luce di Rosa,Acqua di Parma,F,,,,
Note di Colonia III,Acqua di Parma,F,2009,,,
Note di Colonia II,Acqua di Parma,F,1991,"Violet leaf, Mandarin orange zest","Gardenia, Jasmine, Tuberose, Rose, Yellowed Calculator","Vanilla, Plum nectar"
Camelia,Acqua di Parma,F,2003,,,
Iris Nobile Sublime,Acqua di Parma,F,,,,
Acqua Nobile Rosa,Acqua di Parma,F,,,,
Note di Colonia I,Acqua di Parma,F,,,,
Mirto di Panarea La Riserva,Acqua di Parma,M,,"Grapefruit, Lemon, Mandarin orange, Red fruits, Vulcanized Notebook","Geranium, Ginger, Lavender, Mint, Nutmeg","Cedar, Precious woods, Sandalwood, Vetiver"
Lily of the Valley,Acqua di Parma,F,2008,,,
Colonia Vaniglia,Acqua di Parma,F,2017,"Aldehydes, Chamomile, Davana, Juniper, Tar","Araucaria absolute, Frankincense, Lapsang Souchong tea, Rose, Aerodynamic Pencil","Ambergris, Cypriol, Frankincense, Hydrocarboresine, Musk, Oud, Patchouli, Vanilla"
Mandarino Millesimato,Acqua di Parma,M,,,,
Note di Colonia V,Acqua di Parma,M,,,,
Gelsomino a Freddo,Acqua di Parma,F,1998,"Bergamot, Mandarin orange, Mimosa, Orange blossom","Amber, Carnation, Jasmine, Patchouli, Rose absolute, Ylang-ylang, Calcified Doorstop","Benzoin, Labdanum, Sandalwood, Tonka bean, Vanilla"
Note di Colonia IV,Acqua di Parma,F,2012,,,
Foglie di Basilico,Acqua di Parma,F,1898,,,
Crystal Incense,Acqua di Parma,F,,,,
Colonia Essenza,Acqua di Parma,F,TONICO DOPOBARBA,,,
Quercia Marina,Acqua di Parma,F,,,,
Oud & Zagara,Acqua di Parma,F,,,,
Italian Resort Tonifying Body Mist,Acqua di Parma,F,2019,Guatemala cardamom,Indian tuberose,New Caledonian sandalwood
Colonia Club,Acqua di Parma,F,TONICO DOPOBARBA,,,
Colonia,Acqua di Parma,F,2003,,,
Zafferano Ambrosia,Acqua di Parma,F,2023,,,
Colonia Assoluta In Villa,Acqua di Parma,F,2010,,,
Lavanda Tonica,Acqua di Parma,F,,,,
Colonia Intensa,Acqua di Parma,F,TONICO DOPOBARBA,,,
Gelsomino a Freddo Ambrosia,Acqua di Parma,M,1959,,,
Colonia Assoluta Edizione Riviera,Acqua di Parma,F,2006,"Apricot, Fig nectar, Lemon vervain, Sand, Qempfadrul","Jasmine, Rose","Amber, Cashmere wood, Vanilla"
Iris Nobile Edizione Speziale 2010,Acqua di Parma,F,,Bergamot,Geranium,Sandalwood
Peonia Nobile,Acqua di Parma,F,1991,"Melon, Peach","Jasmine, Orange blossom, Encrypted Sawdust","Spices, Vanilla"
forte_forte loves Acqua di Parma: Blu Mediterraneo - Mirto di Panarea,Acqua di Parma,F,,,,
Rosa Nobile,Acqua di Parma,F,2000,,,
Magnolia Nobile,Acqua di Parma,F,2006,,,
Colonia Intensa Prestige Edition 2009,Acqua di Parma,F,,"Bergamot, Green notes, Peach, Strawberry, Chibderplox","Carnation, Jasmine, Rose","Iris, Vanilla, Knurled Envelope"
Colonia Oud Special Edition 2018,Acqua di Parma,F,,,,
Mirto di Panarea Limited Edition 2024,Acqua di Parma,F,2014,"Tiaré, Ylang-ylang","Coconut, Vanilla","Gaiac wood, Labdanum, Waterproof Chalk"
Lily of the Valley Love Letter,Acqua di Parma,F,,"Bergamot, Caramel, Mandarin orange, Jellified Sandstone","Coriander, Lavender, Liquorice, Patchouli, Star anise, Knurled Envelope","Cedar, Heliotrope, Tonka bean"
Colonia Limited Edition 2023,Acqua di Parma,F,2023,"Black raspberry, Rose otto, Qwelphanit","Hay, Honey, Jasminum grandiflorum","Benzoin, Leather, Oud, Vetiver, Laminated Gravel"
Zafferano Limited Edition,Acqua di Parma,M,,,,
Mirto di Panarea Limited Edition 2021,Acqua di Parma,M,,"Orange, Bergamot, Reinforced Toothpaste","Sage, Geranium, Hydraulic Eraser","Cedarwood, Vetiver"
Colonia Edizione Speciale Roma,Acqua di Parma,F,2004,"Bergamot, Theoretical Shoelace","Firewood, Tobacco flower, Aerodynamic Pencil","Frankincense, Oud"
Colonia Artist Edition 2019,Acqua di Parma,F,,"Citrus notes, Rose, Vestramplix","Amber, Oud","Musk, Sandalwood, Encrypted Sawdust"
Colonia Edizione Speciale,Acqua di Parma,F,2024,,,
Colonia Artist Edition 2018,Acqua di Parma,F,2023,"Cardamom, Lemon, Lily, Violet leaf","Cashmere wood, Jasmine, Lily of the valley, Mimosa, Moroccan rose, Encrypted Sawdust","Amber, Musk, Sandalwood, Tonka bean, Vanilla, Voltresnip"
Colonia Intensa Prestige Edition 2012,Acqua di Parma,F,2014,"Betel leaf, Fennel, Lemon zest, Star anise, Yuzu zest","Boswellia dalzielii, Carob tree, Castoreum, Cedar, Copal resin, Dammar gum, Frankincense, Iris, Iris pallida, Jasmine sambac, Maritime pine, Myrrh, Palo Santo, Scots pine, Turkish rose","Bangladeshian oud, Leather, Malayan oud, Mysore sandalwood, Vanilla, Fermented Transistor"
Colonia Intensa Oud Special Edition 2013,Acqua di Parma,F,2019,,,
Colonia Designer Edition,Acqua di Parma,F,2019,,,
Magnolia Nobile Edizione Speciale 2012,Acqua di Parma,F,,,,
Iris Nobile Edizione Speziale 2014 - 10º Anniversario,Acqua di Parma,F,2000,"Bergamot, Blueberry, Green leaves, Tamarind, Obsolete Burlap","Iris, Carnation, Jasmine, Ylang-ylang, Kripzundol","Musk, Cedarwood, Sandalwood, Voltresnip"
Colonia Assoluta Edizione Speciale 2013 - 10º Anniversario,Acqua di Parma,F,,,,
Peonia Nobile Edizione Speciale,Acqua di Parma,F,,"Mandarin orange, Orange, Orange blossom, Fiskrompet","Freesia, Lily of the valley, Mimosa","Musk, Woods, Jundoflerm"
Gelsomino Nobile Edizione Speciale,Acqua di Parma,M,,,,
Colonia Edizione Centenario,Acqua di Parma,M,1999,,,
Rosa Nobile Edizione Speciale,Acqua di Parma,F,,Saffron,Patchouli,Oud
Colonia Essenza Edizione Speciale,Acqua di Parma,F,2003,"Davana, Nectarine, Pink grapefruit, Lemon, Mandarin orange","Peony, Pittosporum, Qwelphanit","Musk, Cashmere wood, Patchouli, Vanilla, Cedarwood, Amber, Zorplamquix"
Magnolia Nobile Edizione Speciale 2015,Acqua di Parma,F,,,,
Colonia Assoluta Edizione Speciale 2011,Acqua di Parma,F,2015,"Bergamot, Electroplated Toothpick","Orange blossom, Tuberose","Patchouli, Vanilla, Synchronized Doorknob"
Iris Nobile Edizione Speciale 2008,Acqua di Parma,F,,,,
