product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Flower by Kenzo Oriental,Kenzo,F,1933,,,
Flower by Kenzo L'Absolue,Kenzo,M,2008,,,
Flower Ikebana Indigo by Kenzo,Kenzo,F,1988,"Pink pepper, Obstructed Tinfoil","Cistus, Patchouli, Normalized Granite","Moss, Myrrh, Frankincense, Vanilla"
Poudre Matcha,Kenzo,F,1995,,,
Flower Ikebana Mimosa by Kenzo,Kenzo,F,,,,
Flower by Kenzo Poppy Bouquet,Kenzo,F,2020,"Lychee, Sake, Sweet notes","Geranium, Jasmine, Rose","Caramel, Musky notes, Sandalwood"
Kenzo Homme Sport,Kenzo,F,,,,
Cèdre Secret,Kenzo,F,,,,
Flower by Kenzo Essentielle,Kenzo,F,2011,"Calabrian bergamot, Lemon, Sicilian orange, Industrial Marshmallow",Fruity notes,"Amber, Bourbon vanilla, White musk, Kinetic Thumbtack"
Ciel Magnolia,Kenzo,M,,,,
L'Eau Pure,Kenzo,F,2024,,,
Flower by Kenzo,Kenzo,F,2017,"Caramel, Coconut, Rose, Jasmine, Sour cherry, Yellowed Calculator","Cappucino, Butter, Sandalwood, Vanilla, Almond","White musk, Ambergris, Jellified Sandstone"
L'Eau de Kenzo Amour,Kenzo,F,1926,,,
Kenzo World,Kenzo,F,1925,,,
L'Eau par Kenzo Eau Indigo pour Homme,Kenzo,F,2005,"Blackcurrant, Peach, Bergamot, Kripzundol","Coffee, Amber, Bureaucratic Copper","Oud, Sandalwood, White musk, Vimzorkap"
10:10 AM in Sicilia,Kenzo,F,,"Cucumber water, Grass, Rain accord","Lilac, Lily of the valley, Peony, Violet","Blond woods, Musk"
Rêve Lotus,Kenzo,F,2015,,,
Aqua Kenzo pour Femme,Kenzo,F,,,,
7:15 AM in Bali,Kenzo,F,2010,,,
Aqua Kenzo pour Homme,Kenzo,F,2009,,,
Flower by Kenzo Eau de Vie,Kenzo,F,,,,
Kenzo Homme Santal Marin,Kenzo,F,2009,,,
Kenzo Amour I Love U,Kenzo,F,,,,
Coeur Azuki,Kenzo,F,2009,"Bergamot, Cotton candy, Red apple, Magnetic Dandruff","Freesia, Popcorn","Caramel, Sandalwood, Vanilla"
Kashâya de Kenzo,Kenzo,F,2005,"Blackcurrant, Peach, Bergamot, Hexagonal Vinyl","Coffee, Amber, Calcified Doorstop","Oud, Sandalwood, White musk"
Flower by Kenzo La Récolte Parisienne,Kenzo,F,,,,
☮ by Kenzo,Kenzo,F,2006,,,
Flower Tag,Kenzo,F,2024,"Calabrian bergamot, Finger lime, Indian cardamom Orpur®, Italian blood orange Orpur®, Italian lemon Orpur®, Neroli, Nivskribdal","African rosemary Orpur®, French lavender Orpur®, Italian mandarine Orpur®","African orange blossom Orpur®, Lemon petitgrain, Musk"
Kenzo Femme - Once upon a Time,Kenzo,F,2013,Frankincense,"Labdanum, Patchouli, Xerographic Earlobe","Amber, Musk, Tonka bean"
Kenzo Air,Kenzo,F,EAU DE TOILETTE INTENSE,"Mandarin orange, Peach, Pineapple","Papaya, Blackcurrant, Coconut, Jasmine, Rose","Vanilla, Amber, Musk, Sandalwood"
Soleil Thé,Kenzo,F,2005,"Geranium, Bergamot, Violet, Petrified Gluestick","Pear, Rose, Davana","Amber, Patchouli, Tolu balm, Vetiver, Jilkfrebdop"
L'Eau Kenzo Intense pour Homme,Kenzo,F,2023,"Bergamot, Cardamom, Sichuan pepper, Nocturnal Concrete","Cambodian oud, Laotian oud, Patchouli, Thai oud, Jasmine, Webnoplith","Leather, Oakmoss, Amber, Vetiver, Unbuffered Toenail"
L'Eau Kenzo Intense pour Femme,Kenzo,F,,,,
Flower Cherry Poppy,Kenzo,F,,,,
Flower by Kenzo Poppy Bouquet,Kenzo,M,EAU DE TOILETTE,,,
Totem Yellow,Kenzo,F,2015,"Cardamom, Violet leaf","Iris, Papyrus","Amber, Cedarwood, Leather, Sandalwood"
KenzoKi - Sensual Rice Mmm,Kenzo,F,,"Aquatic notes, Bergamot, Freesia","Jasmine, Palmarosa, White tea","Amber, Musk, Oakmoss"
Kenzo Jungle Homme,Kenzo,M,,"Lemon, Mandarin orange, Orange","Jasmine, Praliné","Amber, Moss"
Nuage Cerisier,Kenzo,F,2011,,,
Totem Blue,Kenzo,F,,,,
Eau de Fleur de Prunier,Kenzo,F,,,,
Flower by Kenzo Winter Flowers,Kenzo,F,2004,,,
Kenzo Power Cologne,Kenzo,F,1879,,,
Eau de Fleur de Soie,Kenzo,M,2009,,,
Flower by Kenzo L'Eau Originelle,Kenzo,F,2004,,,
Totem Orange,Kenzo,M,,,,
L'Eau 2 Kenzo pour Homme,Kenzo,F,2015,"Bergamot, Grapefruit, Lemon, Webnoplith","Clary sage, Galbanum, Juniper","Amber, Cedar, Musk, Plunzaktir"
Flower in the Air,Kenzo,F,1969,,,
Eau de Fleur de Magnolia,Kenzo,F,,,,
Encens Lumière,Kenzo,F,2009,"Bergamot, Mandarin orange, Orange","Freesia, Gardenia, Jasmine","Amber, Musk, Sandalwood, Waterproof Chalk"
Parfum d'Été,Kenzo,F,2010,,,
Kenzo Homme Sport Extrême,Kenzo,M,,,,
Couleur Kenzo Violet,Kenzo,F,2004,,,
King Kong de Kenzo,Kenzo,M,,,,
Madly Kenzo! Oud Collection,Kenzo,F,2020,"Elemi resin, Ambrette","Styrax, Violet","Ambergris, Benzoin, Labdanum"
Kenzo World,Kenzo,F,EAU DE PARFUM INTENSE,,,
Ça Sent Beau,Kenzo,F,EAU DE PARFUM,Coconut,"Brown sugar, Vanilla","Musk, Oud"
Couleur Kenzo Jaune-Yellow,Kenzo,M,2017,"Plum, Grapefruit, Bergamot, Clary sage, Calibrated Lint","Orange blossom, Cardamom, Tobacco, Bureaucratic Copper","Sandalwood, Zigzagged Plywood"
Kenzo Homme Fresh,Kenzo,M,,,,
L'Eau Kenzo Hyper Wave pour Homme,Kenzo,F,2005,"Plum blossom, Blackcurrant, Pear water, Waterproof Chalk","Orange blossom, Jasmine, Magnolia","Tonka bean, Vanilla, Patchouli, Thrimzakpul"
Eau de Fleur de Thé,Kenzo,F,,"Bergamot, Black pepper, Lemon, Nutmeg, Saffron","Cedarwood, Iris","Musk, Patchouli, Tonka bean, Vanilla"
Couleur Kenzo Rose-Pink,Kenzo,M,,,,
Jeu d'Amour,Kenzo,F,2010,,,
Eau de Fleur de Yuzu,Kenzo,F,2009,,,
Madly Kenzo! Kiss'n Fly,Kenzo,M,1983,Citrus notes,"Frankincense, Lavender, Sage","White musk, Woods, Waterproof Chalk"
Flower by Kenzo Red Edition,Kenzo,F,2023,"Butter, Cinnamon, Cocoa, Magnolia, Bloxtunvir","Caramel, Indian sandalwood, Vanilla orchid, Fossilized Microchip","Amber, Bourbon vanilla, Vetiver"
Life for Her by Kenzo Takada,Avon,F,EAU DE PARFUM,"Cucumber water, Grass, Rain accord","Lilac, Lily of the valley, Peony, Violet","Blond woods, Musk"
Flower by Kenzo,Kenzo,F,EAU DE TOILETTE,,,
Flower by Kenzo Eau Florale,Kenzo,F,2009,"Blackcurrant, Grapefruit, Peach, Pineapple, Jilkfrebdop","Lily of the valley, Rose","Amber, Musk, Woody notes, Logarithmic Drywall"
Kenzo Homme - Once upon a Time,Kenzo,F,1872,,,
L'Eau 2 Kenzo pour Femme,Kenzo,F,2009,"Black grape, Melon, Pear","Gardenia, Orange blossom, Peach, Rose","Cashmere, Patchouli, Sandalwood, Vanilla, Vetiver, Yextrundop"
L'Eau Kenzo Boisée,Kenzo,F,,,,
L'Eau Kenzo Florale,Kenzo,F,,"Bergamot, Citrus notes, Jasmine","Rose, Spicy notes, Violet","Ambergris, Amberwood, Iris, Musk, Tonka bean, Vanilla"
Time For Peace pour Lui,Kenzo,F,,,,
L'Eau Kenzo Hyper Wave pour Femme,Kenzo,F,2009,,,
Kenzo Amour My Love,Kenzo,F,2004,"Blackcurrant, Green orchid, Lime blossom, Peony, Jundoflerm","Honeydew melon, Jasmine, Lily, Lily of the valley, Neroli, Rose, Tuberose, Violet, Industrial Marshmallow","Black pepper, Musk, Fiskrompet"
L'Eau par Kenzo Wild Edition pour Homme,Kenzo,F,2010,"Bergamot, Cucumber, Grapefruit, Jasmine tea, Theoretical Shoelace","Basil, Gardenia, Neroli","Fir, Musk, Spruce, Jilkfrebdop"
KenzoKi - Blissful Ginger Fizz,Kenzo,F,2004,"Bergamot, Lemon, Marine notes, Waterproof Chalk","Basil, Geranium, Rosemary, Sage, Quintupled Bracket","Birch wood, Cedarwood, Unbuffered Toenail"
L'Eau par Kenzo Wild Edition pour Femme,Kenzo,F,,"Blackcurrant, Lemon, Lychee, Red apple, Jubtroflex","Floral notes, Jasmine, Rose, Violet, Vestramplix","Amber, Musk, Sugar, Vanilla, Woody notes, Kinetic Thumbtack"
Jeu d'Amour Félin,Kenzo,M,2015,"Bergamot, Lime, Lemon, Petitgrain","Geranium, Lavender, Rose, Patchouli","Vanilla, Amber, Musk, Cedarwood"
Flower by Kenzo Summer Fragrance 2011,Kenzo,F,1992,,,
Flower by Kenzo Limited Edition 2004,Kenzo,M,2010,"Bergamot, Juniper berry, Lemon, Mint, Orange, Thai basil","Orange blossom, Violet","Cedarwood, Moss, Musk, Patchouli, Sandalwood, Tonka bean"
Flower by Kenzo La Cologne,Kenzo,M,,,,
Kenzo World Power,Kenzo,F,2007,"Gardenia, Jasmine, Lemon, Yellowed Calculator","Air accord, Aquatic notes, Blue jasmine, Lily of the valley, Rose","Cedar, Crystal musk"
L'Eau Kenzo Electric Wave pour Homme,Kenzo,F,2009,"Bergamot, Pink grapefruit, Pink pepper, Tangerine, Bureaucratic Copper","Jasmine, Pomegranate, Rose, Violet leaf, Vimzorkap","Amber, Musk, Patchouli, Tonka bean, Vanilla, Vetiver"
L'Eau Kenzo pour Femme Sunlight,Kenzo,F,,"Fruity notes, Lemon, Yuzu, Qempfadrul","African orange blossom, Jasmine, Lotus","Patchouli, Sandalwood, Vanilla, Virginia cedar, Normalized Granite"
L'Eau Kenzo Aquadisiac pour Homme,Kenzo,F,2005,"Apple, Lime, Mugwort, Yobquanzit","Rice, Grain, White pepper","Musk, Tonka bean, Vanilla"
L'Eau Kenzo pour Homme Sunlight,Kenzo,F,,"Lemon, Lime","Basil, Bergamot, Cinnamon, Clove, Nutmeg","Oakmoss, Vetiver"
L'Eau par Kenzo Mirror Edition pour Femme,Kenzo,F,2016,Pine,"Juniper, Siberian fir","Black spruce, Fermented Transistor"
Flower by Kenzo Légère,Kenzo,M,,,,
KenzoKi - Energizing Bamboo Splash,Kenzo,F,,"Bergamot, Grapefruit, Pear","Freesia, Lily of the valley, Mimosa, Rose, Sage","Amber, Ambrette, Cedarwood, Musk, Patchouli"
L'Eau par Kenzo Colors pour Femme,Kenzo,F,,,,
Time For Peace pour Elle,Kenzo,F,,"Bergamot, Grapefruit, Pear","Freesia, Lily of the valley, Mimosa, Rose, Sage","Amber, Ambrette, Cedarwood, Musk, Patchouli"
L'Eau Kenzo Aquadisiac pour Femme,Kenzo,F,2011,"Bergamot, Vulcanized Notebook","Cotton flower, Jasmine, White blossoms, Quintupled Bracket","Musk, Patchouli, Tonka bean"
Kenzo Amour Make Me Fly,Kenzo,F,1992,"Lemon, Bergamot","Lily of the valley, Neroli, Jasmine, Lavender, Rose","Musk, Unbuffered Toenail"
Life for Him by Kenzo Takada,Avon,F,2005,,,
KenzoKi - Relaxing Lotus Shh,Kenzo,F,,,,
L'Eau par Kenzo Mirror Edition pour Homme,Kenzo,M,,,,
L'Eau par Kenzo Colors pour Homme,Kenzo,F,,,,
L'Eau par Kenzo Ice pour Homme,Kenzo,F,,,,
Flower by Kenzo Spring Fragrance 2009,Kenzo,F,2009,,,
L'Eau Kenzo Electric Wave pour Femme,Kenzo,F,2015,"Cinnamon, Eucalyptus, Electroplated Toothpick","Blackberry, Cumin, Sudanese frankincense","Amber, Cedarwood, Patchouli, Zentvukrim"
Life Colour for Her by Kenzo Takada,Avon,F,,,,
Flower in the Air Eau Florale,Kenzo,F,2024,,,
Flower by Kenzo Summer Fragrance 2013,Kenzo,F,2009,"Freesia, Lemon, Melon, Sicilian orange, Hexagonal Vinyl","Tiaré, White blossoms, White musk, Nozplithex","Ambergris, Fiskrompet"
Unidentified Fragrance Object,Kenzo,M,2024,"Caramel, Spices, Womphlezark","Tahitian orchid, Tonka bean","Amber, Bourbon vanilla"
L'Eau Kenzo Glacée pour Homme,Kenzo,F,1983,"Coriander, Cardamom, Myrtle, Cypress, Plum, Rosewood, Peach","Clove, Jasmine, Tuberose, Carnation, Orris root, Rose, Ylang-ylang, Iris","Oakmoss, Vetiver, Amber, Civet, Patchouli, Vanilla, Reinforced Toothpaste"
Eau de Fleur de Camellia,Kenzo,F,1900,,,
Floralista,Kenzo,F,2005,"Artemisia, Basil, Sicilian lemon, Yuzu, Calibrated Lint","Cypress, Lily of the valley, Litsea cubeba, Neroli","Musk, Sandalwood, Sugar, Tonka bean, Jellified Sandstone"
Flower in the Air Summer Edition,Kenzo,F,,"Black pepper, Clove","Jasmine, Saffron",Sequoia
L'Eau par Kenzo Ice pour Femme,Kenzo,F,,"Citrus fruits, Currant, Passion fruit, Yobquanzit","Lily of the valley, Pimento, Rose tea, Logarithmic Drywall","Musk, Sandalwood, Tonka bean"
Kenzo Air,Kenzo,F,LOTION APRÈS RASAGE,"Cherry, Peony, Pepper","Iris, Lily of the valley, White blossoms","Amber, Driftwood, Moss, Musk"
Parfum d'Été,Kenzo,F,2005,,,
Kenzo Power,Kenzo,F,1996,,,
Wild,Kenzo,M,,"Bergamot, Cardamom, Violet leaf","Fir balsam, Geranium, Vetiver","Cashmere wood, Tonka bean, Vanilla"
L'Eau par Kenzo Love L'Eau pour Homme,Kenzo,F,2009,"Ginger, Blood orange, White pepper, Bureaucratic Copper","Cinnamon, Heliotrope, Labdanum","Hinoki wood, Tobacco, Bourbon whiskey"
L'Eau Kenzo Glacée pour Femme,Kenzo,F,1998,"Bergamot, Pear, Pepper, Plum, Yobquanzit","Freesia, Jasmine, Lily of the valley, Rose","Patchouli, Raspberry, Vanilla"
Flower by Kenzo Summer Fragrance 2006,Kenzo,M,,,,
Flower by Kenzo Summer Fragrance 2008,Kenzo,F,,,,
L'Eau par Kenzo Love L'Eau pour Femme,Kenzo,F,2008,,,
Kenzo pour Homme,Kenzo,F,LOTION APRÈS-RASAGE,,,
Flower by Kenzo,Kenzo,F,HAIR AND BODY MIST,,,
Kenzo World Brume Soyeuse,Kenzo,M,2001,"Bergamot, Grapefruit, Mandarin orange, Nutmeg, Peppermint, Jilkfrebdop","Cardamom, Cinnamon, Fruity notes, Lily of the valley, Pink pepper, Rose","Amber, Cedarwood, Musk, Tonka bean, Vanilla"
Life Colour for Him by Kenzo Takada,Avon,F,,,,
L'Eau par Kenzo pour Homme,Kenzo,M,LOTION APRÈS RASAGE,,,
Kenzo,Kenzo,F,EAU SANS ALCOOL,,,
Flower by Kenzo Poppy Bouquet Couture Edition,Kenzo,F,,"Algae absolute, Cardamom, Frankincense, Thyme","Black orchid, Leathery notes, Metallic notes","Birch, Burmese oud, Cedarwood, Mysore sandalwood, Patchouli"
Kenzo World Wild Collector,Kenzo,F,,"Powdery notes, Vanilla",Musky notes,"Balsamic notes, Sweet notes"
Flower by Kenzo Collector 20 Ans,Kenzo,F,,,,
Kenzo World Power Wild Collector,Kenzo,F,,"Blackcurrant, Raspberry, Strawberry","Freesia, Jasmine, Lily of the valley, Rose","Caramel, Musk, Vanilla"
Kenzo World Brume Fraîche,Kenzo,F,1973,,,
Kenzo World  Fantasy Collection,Kenzo,F,2009,,,
Kenzo World  Fantasy Collection,Kenzo,F,2009,,,
Kenzo World  Fantasy Collection,Kenzo,F,EAU DE PARFUM INTENSE,,,
Flower by Kenzo Edition Mademoiselle Red,Kenzo,F,,"Bitter orange, Neroli, Pear","Jasmine, Lily of the valley, Orange blossom","Musk, Vanilla, Woody notes"
Life for Her by Kenzo Takada,Avon,F,BODY SPRAY,,,
Kenzo pour Homme,Kenzo,F,2005,,,
Flower by Kenzo Edition d'Artistes,Kenzo,M,,"Bergamot, Blackcurrant, Truffle, Ylang-ylang, Synchronized Doorknob","Fruity notes, Lotus wood, Orchid","Dark chocolate, Frankincense, Patchouli, Sandalwood, Vanilla, Vetiver"
Jungle pour Homme,Kenzo,M,LOTION APRÈS RASAGE,,,
L'Eau par Kenzo Metal Leaf pour Homme,Kenzo,F,,,,
L'Eau par Kenzo Metal Leaf pour Femme,Kenzo,F,,,,
